"firstName","lastName","nationality","id","code","name","type","abbreviation","Label"
"Mike","Liambas","CAN",8475436,"L","Left Wing","Forward","LW","Mike Liambas"
"Brenden","Dillon","CAN",8475455,"D","Defenseman","Defenseman","D","Brenden Dillon"
"Andrew","Agozzino","CAN",8475461,"L","Left Wing","Forward","LW","Andrew Agozzino"
"Radko","Gudas","CZE",8475462,"D","Defenseman","Defenseman","D","Radko Gudas"
"Julien","Brouillette","CAN",8475567,"D","Defenseman","Defenseman","D","Julien Brouillette"
"Shane","Harper","USA",8475597,"R","Right Wing","Forward","RW","Shane Harper"
"Ryan","Stanton","CAN",8475598,"D","Defenseman","Defenseman","D","Ryan Stanton"
"Casey","Wellman","USA",8475602,"C","Center","Forward","C","Casey Wellman"
"Ben","Holmstrom","USA",8475603,"C","Center","Forward","C","Ben Holmstrom"
"Nate","Prosser","USA",8475613,"D","Defenseman","Defenseman","D","Nate Prosser"
"Aaron","Volpatti","CAN",8475619,"L","Left Wing","Forward","LW","Aaron Volpatti"
"Carter","Hutton","CAN",8475622,"G","Goalie","Goalie","G","Carter Hutton"
"Matt","Irwin","CAN",8475625,"D","Defenseman","Defenseman","D","Matt Irwin"
"Bobby","Butler","USA",8475637,"R","Right Wing","Forward","RW","Bobby Butler"
"Brayden","Irwin","CAN",8475638,"C","Center","Forward","C","Brayden Irwin"
"Erik","Gustafsson","SWE",8475640,"D","Defenseman","Defenseman","D","Erik Gustafsson"
"Brendon","Nash","CAN",8475641,"D","Defenseman","Defenseman","D","Brendon Nash"
"Chris","Breen","CAN",8475648,"D","Defenseman","Defenseman","D","Chris Breen"
"Brandon","Bollig","USA",8475650,"L","Left Wing","Forward","LW","Brandon Bollig"
"Cam","Talbot","CAN",8475660,"G","Goalie","Goalie","G","Cam Talbot"
"Dave","Dziurzynski","CAN",8475661,"L","Left Wing","Forward","LW","Dave Dziurzynski"
"Eddie","Lack","SWE",8475663,"G","Goalie","Goalie","G","Eddie Lack"
"Matt","Fraser","CAN",8475671,"R","Right Wing","Forward","RW","Matt Fraser"
"Linus","Klasen","SWE",8475677,"L","Left Wing","Forward","LW","Linus Klasen"
"Jarod","Palmer","USA",8475679,"C","Center","Forward","C","Jarod Palmer"
"Jussi","Rynnas","FIN",8475680,"G","Goalie","Goalie","G","Jussi Rynnas"
"Ben","Scrivens","CAN",8475681,"G","Goalie","Goalie","G","Ben Scrivens"
"Sergei","Bobrovsky","RUS",8475683,"G","Goalie","Goalie","G","Sergei Bobrovsky"
"Christopher","Tanev","CAN",8475690,"D","Defenseman","Defenseman","D","Christopher Tanev"
"Mats","Zuccarello","NOR",8475692,"C","Center","Forward","C","Mats Zuccarello"
"Calle","Jarnkrok","SWE",8475714,"C","Center","Forward","C","Calle Jarnkrok"
"Oscar","Lindberg","SWE",8475715,"L","Left Wing","Forward","LW","Oscar Lindberg"
"Martin","Marincin","SVK",8475716,"D","Defenseman","Defenseman","D","Martin Marincin"
"Calvin","Pickard","CAN",8475717,"G","Goalie","Goalie","G","Calvin Pickard"
"Justin","Holl","USA",8475718,"D","Defenseman","Defenseman","D","Justin Holl"
"Kent","Simpson","CAN",8475720,"G","Goalie","Goalie","G","Kent Simpson"
"Jason","Zucker","USA",8475722,"L","Left Wing","Forward","LW","Jason Zucker"
"Petr","Straka","CZE",8475723,"R","Right Wing","Forward","RW","Petr Straka"
"Tyler","Toffoli","CAN",8475726,"C","Center","Forward","C","Tyler Toffoli"
"Ryan","Spooner","CAN",8475727,"C","Center","Forward","C","Ryan Spooner"
"Johan","Larsson","SWE",8475728,"L","Left Wing","Forward","LW","Johan Larsson"
"Mark","Alt","USA",8475729,"D","Defenseman","Defenseman","D","Mark Alt"
"Stephen","Johns","USA",8475730,"D","Defenseman","Defenseman","D","Stephen Johns"
"Danny","Biega","CAN",8475732,"D","Defenseman","Defenseman","D","Danny Biega"
"Max","Reinhart","CAN",8475733,"C","Center","Forward","C","Max Reinhart"
"Curtis","Hamilton","USA",8475734,"L","Left Wing","Forward","LW","Curtis Hamilton"
"Greg","McKegg","CAN",8475735,"C","Center","Forward","C","Greg McKegg"
"Connor","Brickley","USA",8475736,"L","Left Wing","Forward","LW","Connor Brickley"
"Jordan","Weal","CAN",8475738,"C","Center","Forward","C","Jordan Weal"
"Michael","Bournival","CAN",8475739,"L","Left Wing","Forward","LW","Michael Bournival"
"Evgeny","Kuznetsov","RUS",8475744,"C","Center","Forward","C","Evgeny Kuznetsov"
"Charlie","Coyle","USA",8475745,"C","Center","Forward","C","Charlie Coyle"
"Patrik","Nemeth","SWE",8475747,"D","Defenseman","Defenseman","D","Patrik Nemeth"
"Christian","Thomas","CAN",8475749,"L","Left Wing","Forward","LW","Christian Thomas"
"Jon","Merrill","USA",8475750,"D","Defenseman","Defenseman","D","Jon Merrill"
"Tyler","Pitlick","USA",8475752,"C","Center","Forward","C","Tyler Pitlick"
"Justin","Faulk","USA",8475753,"D","Defenseman","Defenseman","D","Justin Faulk"
"Brock","Nelson","USA",8475754,"C","Center","Forward","C","Brock Nelson"
"Alexander","Petrovic","CAN",8475755,"D","Defenseman","Defenseman","D","Alexander Petrovic"
"John","McFarland","CAN",8475756,"L","Left Wing","Forward","LW","John McFarland"
"Brett","Bulmer","CAN",8475757,"R","Right Wing","Forward","RW","Brett Bulmer"
"Devante","Smith-Pelly","CAN",8475758,"R","Right Wing","Forward","RW","Devante Smith-Pelly"
"Brandon","Gormley","CAN",8475759,"D","Defenseman","Defenseman","D","Brandon Gormley"
"Nick","Bjugstad","USA",8475760,"C","Center","Forward","C","Nick Bjugstad"
"Beau","Bennett","USA",8475761,"R","Right Wing","Forward","RW","Beau Bennett"
"Derek","Forbort","USA",8475762,"D","Defenseman","Defenseman","D","Derek Forbort"
"Kevin","Hayes","USA",8475763,"R","Right Wing","Forward","RW","Kevin Hayes"
"Cam","Fowler","USA",8475764,"D","Defenseman","Defenseman","D","Cam Fowler"
"Vladimir","Tarasenko","RUS",8475765,"R","Right Wing","Forward","RW","Vladimir Tarasenko"
"Austin","Watson","USA",8475766,"L","Left Wing","Forward","LW","Austin Watson"
"Joey","Hishon","CAN",8475767,"C","Center","Forward","C","Joey Hishon"
"Jaden","Schwartz","CAN",8475768,"C","Center","Forward","C","Jaden Schwartz"
"Quinton","Howden","CAN",8475769,"C","Center","Forward","C","Quinton Howden"
"Emerson","Etem","USA",8475770,"R","Right Wing","Forward","RW","Emerson Etem"
"Mark","Visentin","CAN",8475771,"G","Goalie","Goalie","G","Mark Visentin"
"Riley","Sheahan","CAN",8475772,"C","Center","Forward","C","Riley Sheahan"
"Petter","Granberg","SWE",8475774,"D","Defenseman","Defenseman","D","Petter Granberg"
"Tye","McGinn","CAN",8475775,"L","Left Wing","Forward","LW","Tye McGinn"
"Chris","Wagner","USA",8475780,"R","Right Wing","Forward","RW","Chris Wagner"
"Tyler","Bunz","CAN",8475781,"G","Goalie","Goalie","G","Tyler Bunz"
"Morgan","Ellis","CAN",8475782,"D","Defenseman","Defenseman","D","Morgan Ellis"
"Jeff","Skinner","CAN",8475784,"C","Center","Forward","C","Jeff Skinner"
"Zach","Hyman","CAN",8475786,"C","Center","Forward","C","Zach Hyman"
"Alexander","Burmistrov","RUS",8475788,"C","Center","Forward","C","Alexander Burmistrov"
"Jack","Campbell","USA",8475789,"G","Goalie","Goalie","G","Jack Campbell"
"Erik","Gudbranson","CAN",8475790,"D","Defenseman","Defenseman","D","Erik Gudbranson"
"Taylor","Hall","CAN",8475791,"L","Left Wing","Forward","LW","Taylor Hall"
"Brett","Connolly","CAN",8475792,"R","Right Wing","Forward","RW","Brett Connolly"
"Ryan","Johansen","CAN",8475793,"C","Center","Forward","C","Ryan Johansen"
"Tyler","Seguin","CAN",8475794,"C","Center","Forward","C","Tyler Seguin"
"Dylan","McIlrath","CAN",8475795,"D","Defenseman","Defenseman","D","Dylan McIlrath"
"Mark","Pysyk","CAN",8475796,"D","Defenseman","Defenseman","D","Mark Pysyk"
"Jarred","Tinordi","USA",8475797,"D","Defenseman","Defenseman","D","Jarred Tinordi"
"Mikael","Granlund","FIN",8475798,"C","Center","Forward","C","Mikael Granlund"
"Nino","Niederreiter","CHE",8475799,"R","Right Wing","Forward","RW","Nino Niederreiter"
"Teemu","Pulkkinen","FIN",8475800,"L","Left Wing","Forward","LW","Teemu Pulkkinen"
"Joakim","Nordstrom","SWE",8475807,"C","Center","Forward","C","Joakim Nordstrom"
"Michael","Chaput","CAN",8475808,"C","Center","Forward","C","Michael Chaput"
"Scott","Wedgewood","CAN",8475809,"G","Goalie","Goalie","G","Scott Wedgewood"
"Bryan","Rust","USA",8475810,"R","Right Wing","Forward","RW","Bryan Rust"
"Julian","Melchiori","CAN",8475815,"D","Defenseman","Defenseman","D","Julian Melchiori"
"Stanislav","Galiev","RUS",8475816,"R","Right Wing","Forward","RW","Stanislav Galiev"
"Joonas","Donskoi","FIN",8475820,"R","Right Wing","Forward","RW","Joonas Donskoi"
"Sami","Aittokallio","FIN",8475824,"G","Goalie","Goalie","G","Sami Aittokallio"
"Justin","Shugg","CAN",8475826,"R","Right Wing","Forward","RW","Justin Shugg"
"John","Ramage","CAN",8475829,"D","Defenseman","Defenseman","D","John Ramage"
"Philipp","Grubauer","DEU",8475831,"G","Goalie","Goalie","G","Philipp Grubauer"
"Tom","Kuhnhackl","DEU",8475832,"R","Right Wing","Forward","RW","Tom Kuhnhackl"
"Bill","Arnold","USA",8475833,"C","Center","Forward","C","Bill Arnold"
"Marcus","Sorensen","SWE",8475834,"L","Left Wing","Forward","LW","Marcus Sorensen"
"Alex","Friesen","CAN",8475836,"C","Center","Forward","C","Alex Friesen"
"Louis","Domingue","CAN",8475839,"G","Goalie","Goalie","G","Louis Domingue"
"Tim","Heed","SWE",8475841,"D","Defenseman","Defenseman","D","Tim Heed"
"Sam","Carrick","CAN",8475842,"C","Center","Forward","C","Sam Carrick"
"Kenny","Agostino","USA",8475844,"L","Left Wing","Forward","LW","Kenny Agostino"
"Justin","Florek","USA",8475845,"L","Left Wing","Forward","LW","Justin Florek"
"Brendan","Gallagher","CAN",8475848,"R","Right Wing","Forward","RW","Brendan Gallagher"
"Petr","Mrazek","CZE",8475852,"G","Goalie","Goalie","G","Petr Mrazek"
"Jesper","Fast","SWE",8475855,"R","Right Wing","Forward","RW","Jesper Fast"
"Kevin","Gravel","USA",8475857,"D","Defenseman","Defenseman","D","Kevin Gravel"
"Anthony","Bitetto","USA",8475868,"D","Defenseman","Defenseman","D","Anthony Bitetto"
"Brandon","Davidson","CAN",8475869,"D","Defenseman","Defenseman","D","Brandon Davidson"
"Zane","McIntyre","USA",8475876,"G","Goalie","Goalie","G","Zane McIntyre"
"Freddie","Hamilton","CAN",8475878,"C","Center","Forward","C","Freddie Hamilton"
"Frederik","Andersen","DNK",8475883,"G","Goalie","Goalie","G","Frederik Andersen"
"Patrick","Holland","CAN",8475889,"R","Right Wing","Forward","RW","Patrick Holland"
"Joonas","Rask","FIN",8475893,"C","Center","Forward","C","Joonas Rask"
"Brendan","Ranford","CAN",8475896,"L","Left Wing","Forward","LW","Brendan Ranford"
"Zach","Trotman","USA",8475902,"D","Defenseman","Defenseman","D","Zach Trotman"
"John","Klingberg","SWE",8475906,"D","Defenseman","Defenseman","D","John Klingberg"
"Micheal","Ferland","CAN",8475907,"L","Left Wing","Forward","LW","Micheal Ferland"
"Mark","Stone","CAN",8475913,"R","Right Wing","Forward","RW","Mark Stone"
"Jason","Akeson","CAN",8475917,"R","Right Wing","Forward","RW","Jason Akeson"
"Marek","Hrivik","SVK",8475949,"L","Left Wing","Forward","LW","Marek Hrivik"
"Marcel","Mueller","DEU",8475950,"C","Center","Forward","C","Marcel Mueller"
"Michael","Sgarbossa","CAN",8475958,"C","Center","Forward","C","Michael Sgarbossa"
"Brody","Sutter","CAN",8475980,"C","Center","Forward","C","Brody Sutter"
"Erik","Burgdoerfer","USA",8475982,"D","Defenseman","Defenseman","D","Erik Burgdoerfer"
